Ajd close;date
201.73;01/09/1997
208.15;01/10/1997
188.69;01/11/1997
175.62;01/12/1997
174.26;01/01/1998
165.10;01/02/1998
166.72;01/03/1998
163.90;01/04/1998
158.27;01/05/1998
155.20;01/06/1998
143.60;01/07/1998
136.96;01/08/1998
153.77;01/09/1998
148.49;01/10/1998
133.48;01/11/1998
133.02;01/12/1998
135.27;01/01/1999
130.81;01/02/1999
153.94;01/03/1999
160.98;01/04/1999
152.22;01/05/1999
163.36;01/06/1999
169.17;01/07/1999
181.62;01/08/1999
191.06;01/09/1999
181.39;01/10/1999
189.66;01/11/1999
194.54;01/12/1999
206.37;01/01/2000
216.01;01/02/2000
206.88;01/03/2000
203.21;01/04/2000
223.20;01/05/2000
235.71;01/06/2000
213.33;01/07/2000
244.40;01/08/2000
237.48;01/09/2000
236.71;01/10/2000
256.38;01/11/2000
246.92;01/12/2000
226.97;01/01/2001
221.99;01/02/2001
212.74;01/03/2001
224.23;01/04/2001
217.62;01/05/2001
202.66;01/06/2001
201.72;01/07/2001
203.00;01/08/2001
181.72;01/09/2001
175.38;01/10/2001
169.58;01/11/2001
169.16;01/12/2001
166.03;01/01/2002
176.53;01/02/2002
201.23;01/03/2002
204.23;01/04/2002
194.29;01/05/2002
202.78;01/06/2002
203.40;01/07/2002
215.23;01/08/2002
227.53;01/09/2002
217.42;01/10/2002
217.51;01/11/2002
235.15;01/12/2002
253.45;01/01/2003
278.57;01/02/2003
232.28;01/03/2003
215.64;01/04/2003
235.24;01/05/2003
233.20;01/06/2003
233.16;01/07/2003
242.46;01/08/2003
232.63;01/09/2003
238.49;01/10/2003
245.80;01/11/2003
260.54;01/12/2003
260.09;01/01/2004
278.66;01/02/2004
282.12;01/03/2004
289.51;01/04/2004
301.41;01/05/2004
286.36;01/06/2004
307.48;01/07/2004
295.60;01/08/2004
337.73;01/09/2004
355.25;01/10/2004
342.50;01/11/2004
310.47;01/12/2004
331.48;01/01/2005
355.85;01/02/2005
383.62;01/03/2005
353.69;01/04/2005
354.89;01/05/2005
379.79;01/06/2005
402.00;01/07/2005
465.15;01/08/2005
469.56;01/09/2005
422.88;01/10/2005
415.91;01/11/2005
431.72;01/12/2005
453.92;01/01/2006
415.86;01/02/2006
442.52;01/03/2006
474.79;01/04/2006
474.55;01/05/2006
484.68;01/06/2006
498.25;01/07/2006
465.87;01/08/2006
428.05;01/09/2006
429.22;01/10/2006
463.66;01/11/2006
433.65;01/12/2006
427.22;01/01/2007
448.49;01/02/2007
468.12;01/03/2007
474.46;01/04/2007
470.65;01/05/2007
489.15;01/06/2007
515.94;01/07/2007
495.30;01/08/2007
546.13;01/09/2007
599.31;01/10/2007
577.99;01/11/2007
610.17;01/12/2007
608.38;01/01/2008
679.78;01/02/2008
668.91;01/03/2008
721.07;01/04/2008
786.58;01/05/2008
862.81;01/06/2008
760.20;01/07/2008
708.16;01/08/2008
622.24;01/09/2008
449.46;01/10/2008
390.65;01/11/2008
349.04;01/12/2008
336.20;01/01/2009
336.24;01/02/2009
358.53;01/03/2009
365.85;01/04/2009
443.05;01/05/2009
450.22;01/06/2009
457.41;01/07/2009
453.79;01/08/2009
462.75;01/09/2009
496.81;01/10/2009
512.57;01/11/2009
524.62;01/12/2009
486.15;01/01/2010
517.48;01/02/2010
530.16;01/03/2010
549.94;01/04/2010
488.19;01/05/2010
495.18;01/06/2010
524.81;01/07/2010
499.16;01/08/2010
546.06;01/09/2010
564.16;01/10/2010
575.84;01/11/2010
631.83;01/12/2010
655.26;01/01/2011
690.85;01/02/2011
725.62;01/03/2011
758.79;01/04/2011
707.26;01/05/2011
668.85;01/06/2011
686.08;01/07/2011
674.69;01/08/2011
591.00;01/09/2011
647.96;01/10/2011
658.02;01/11/2011
644.91;01/12/2011
660.68;01/01/2012
703.50;01/02/2012
688.71;01/03/2012
684.88;01/04/2012
596.20;01/05/2012
599.44;01/06/2012
635.82;01/07/2012
675.03;01/08/2012
665.73;01/09/2012
637.74;01/10/2012
650.05;01/11/2012
646.58;01/12/2012
675.37;01/01/2013
648.21;01/02/2013
655.05;01/03/2013
624.43;01/04/2013
615.46;01/05/2013
611.30;01/06/2013
638.64;01/07/2013
657.05;01/08/2013
632.40;01/09/2013
622.52;01/10/2013
620.12;01/11/2013
632.29;01/12/2013
622.26;01/01/2014
649.64;01/02/2014
648.86;01/03/2014
652.51;01/04/2014
649.63;01/05/2014
658.57;01/06/2014
621.70;01/07/2014
610.92;01/08/2014
574.29;01/09/2014
539.59;01/10/2014
482.11;01/11/2014
418.12;01/12/2014
389.68;01/01/2015
421.24;01/02/2015
396.65;01/03/2015
445.58;01/04/2015
439.09;01/05/2015
440.69;01/06/2015
378.38;01/07/2015
380.85;01/08/2015
359.34;01/09/2015
363.44;01/10/2015
336.15;01/11/2015
311.65;01/12/2015
300.67;01/01/2016
303.63;01/02/2016
323.42;01/03/2016
360.41;01/04/2016
370.95;01/05/2016
374.03;01/06/2016
339.40;01/07/2016
348.21;01/08/2016
364.47;01/09/2016
361.62;01/10/2016
377.22;01/11/2016
398.20;01/12/2016
395.83;01/01/2017
402.22;01/02/2017
388.22;01/03/2017
382.77;01/04/2017
377.85;01/05/2017
372.38;01/06/2017
388.07;01/07/2017
386.00;01/08/2017
399.31;01/09/2017
415.14;01/10/2017
424.26;01/11/2017
442.44;01/12/2017
456.53;01/01/2018
443.38;01/02/2018
452.94;01/03/2018
475.76;01/04/2018
481.43;01/05/2018
487.44;01/06/2018
464.83;01/07/2018
468.69;01/08/2018
486.28;01/09/2018
456.32;01/10/2018
406.52;01/11/2018
374.33;01/12/2018
407.89;01/01/2019
426.35;01/02/2019
434.13;01/03/2019
446.45;01/04/2019
407.76;01/05/2019
425.36;01/06/2019
422.44;01/07/2019
397.06;01/08/2019
403.61;01/09/2019
407.51;01/10/2019
409.19;01/11/2019
436.22;01/12/2019
388.80;01/01/2020
358.44;01/02/2020
255.54;01/03/2020
257.04;01/04/2020
307.08;01/05/2020
325.48;01/06/2020
339.82;01/07/2020
358.21;01/08/2020
350.18;01/09/2020
