Date;Food;Fertil;GPRH;Metal;Oil;Raw_Material;Temperature Anomalies;VIX;Euro_Dollars;Viande;Huile;Wheat;Sucre;Food_lag
01/07/2001;56,5;33,4045848;50,57548904;33,68626153;26,43;47,46969302;0,6;21,620001;0,8762;71,88;19,17;278,5;7,93;54,8
01/08/2001;56,6;33,65440593;48,39595032;32,66504423;27,37;47,5381707;0,61;24,92;0,9124;71,8;17,13;278;7,91;56,5
01/09/2001;55,4;34,44211576;289,9401245;31,79740724;26,2;47,83406172;0,54;31,93;0,9117;66,22;15,79;270,75;6,7;56,6
01/10/2001;54,2;34,67109438;303,5853271;30,64935748;22,17;45,31715195;0,52;33,560001;0,8998;66,22;15,92;293,25;6,74;55,4
01/11/2001;54,7;35,04724745;215,2744293;31,6190055;19,64;44,8804255;0,71;23,84;0,8965;67,22;16,51;281,5;7,68;54,2
01/12/2001;54,3;35,77184701;179,2759857;32,08343754;19,39;45,14044329;0,57;23,799999;0,8909;68,17;15,69;289;7,39;54,7
01/01/2002;53,5;36,19521893;131,618515;32,81834039;19,72;45,37850586;0,71;21,09;0,8585;73,75;15,6;286;6,38;54,3
01/02/2002;51,7;35,94843346;106,1023865;33,03548773;20,72;46,37975927;0,79;21,59;0,8686;70,38;15,73;267,25;5,99;53,5
01/03/2002;52;34,60676189;112,1450195;33,98256786;24,53;46,8647606;0,82;17,4;0,8718;70,42;16,79;285;5,93;51,7
01/04/2002;51;33,4720207;114,5656281;33,62521508;26,18;47,58627416;0,58;21,91;0,9002;66,7;16,47;261,75;5,68;52
01/05/2002;50,5;33,81916562;118,0643005;33,17493691;27,04;48,09204116;0,59;19,98;0,9339;60,48;18,88;282,25;5,9;51
01/06/2002;51,3;34,44702412;107,9472504;33,7024656;25,52;50,78458353;0,6;25,4;0,9918;63,4;18,49;307;5,91;50,5
01/07/2002;52;34,56941808;90,21962738;33,28193008;26,97;52,53941517;0,63;32,029999;0,9775;65;20,31;334;5,8;51,3
01/08/2002;53,4;36,45095573;88,44149017;31,83382763;28,39;53,87110765;0,56;32,639999;0,982;64,72;20,72;362,25;5,98;52
