"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2020","30.69","35.41","35.94","30.63","466.39K","-12.46%"
"12/01/2019","35.06","30.85","35.79","30.40","716.10K","13.65%"
"11/01/2019","30.85","31.22","32.44","30.58","560.10K","-1.28%"
"10/01/2019","31.25","29.31","31.99","29.08","502.44K","6.62%"
"09/01/2019","29.31","28.71","30.62","28.20","816.05K","1.74%"
"08/01/2019","28.81","28.01","29.98","27.64","738.73K","2.89%"
"07/01/2019","28.00","28.60","29.00","27.66","142.15K","-1.72%"
"06/01/2019","28.49","27.85","28.96","27.21","183.55K","2.30%"
"05/01/2019","27.85","28.04","28.47","26.36","166.56K","-0.61%"
"04/01/2019","28.02","28.88","29.86","27.67","160.91K","-2.84%"
"03/01/2019","28.84","30.53","30.97","28.83","272.42K","-5.72%"
"02/01/2019","30.59","31.02","31.60","30.27","445.73K","-0.65%"
"01/01/2019","30.79","28.11","31.10","28.11","372.86K","9.50%"
"12/01/2018","28.12","28.65","29.50","27.81","578.56K","-0.64%"
"11/01/2018","28.30","28.51","29.06","27.42","504.72K","-0.67%"
"10/01/2018","28.49","29.23","30.35","28.23","393.40K","-2.53%"
"09/01/2018","29.23","28.77","29.70","27.37","654.69K","1.60%"
"08/01/2018","28.77","28.92","29.11","27.89","661.33K","-0.83%"
"07/01/2018","29.01","29.34","29.37","27.62","175.30K","-1.12%"
"06/01/2018","29.34","31.44","31.79","28.12","247.62K","-6.53%"
"05/01/2018","31.39","30.80","32.30","30.28","172.19K","2.05%"
"04/01/2018","30.76","32.34","33.12","30.66","188.23K","-4.65%"
"03/01/2018","32.26","32.48","33.09","31.66","284.34K","-0.52%"
"02/01/2018","32.43","33.43","33.71","31.81","503.04K","-3.14%"
"01/01/2018","33.48","33.53","34.25","32.50","354.97K","0.15%"
"12/01/2017","33.43","34.09","34.27","32.71","598.08K","-1.85%"
"11/01/2017","34.06","35.01","35.80","33.81","481.52K","-2.99%"
"10/01/2017","35.11","33.04","35.49","32.47","314.78K","6.43%"
"09/01/2017","32.99","35.06","36.06","32.83","715.85K","-5.90%"
"08/01/2017","35.06","34.54","35.49","32.94","887.82K","0.40%"
"07/01/2017","34.92","33.16","35.40","32.18","189.11K","5.31%"
"06/01/2017","33.16","31.67","33.61","31.17","228.07K","4.94%"
"05/01/2017","31.60","32.06","33.64","31.40","129.57K","-0.66%"
"04/01/2017","31.81","32.24","32.64","31.23","126.28K","-1.12%"
"03/01/2017","32.17","34.34","35.05","31.68","289.96K","-5.91%"
"02/01/2017","34.19","34.41","35.49","32.62","369.37K","-0.61%"
"01/01/2017","34.40","34.89","37.20","33.89","320.86K","-1.49%"
"12/01/2016","34.92","37.25","38.62","34.82","531.38K","-6.26%"
"11/01/2016","37.25","35.53","37.89","33.99","443.39K","4.84%"
"10/01/2016","35.53","33.40","36.70","32.73","369.04K","5.52%"
"09/01/2016","33.67","32.82","34.51","31.63","622.79K","2.43%"
"08/01/2016","32.87","30.50","34.83","29.82","837.44K","7.45%"
"07/01/2016","30.59","31.66","32.09","29.52","166.95K","-3.38%"
"06/01/2016","31.66","32.05","33.57","31.03","207.76K","-1.22%"
"05/01/2016","32.05","33.25","33.94","31.02","199.79K","-3.64%"
"04/01/2016","33.26","34.48","35.51","33.22","167.05K","-3.68%"
"03/01/2016","34.53","31.16","34.64","30.33","223.66K","10.99%"
"02/01/2016","31.11","31.33","32.64","30.94","277.89K","-0.70%"
"01/01/2016","31.33","30.90","31.63","29.22","259.26K","1.20%"
"12/01/2015","30.96","29.95","32.72","29.46","614.75K","4.35%"
"11/01/2015","29.67","28.79","29.89","27.25","383.10K","3.20%"
"10/01/2015","28.75","27.75","29.91","27.42","389.29K","3.94%"
"09/01/2015","27.66","28.18","28.48","26.40","620.60K","-2.09%"
"08/01/2015","28.25","30.11","30.72","25.70","814.69K","-6.49%"
"07/01/2015","30.21","33.71","33.79","30.05","207.51K","-10.46%"
"06/01/2015","33.74","33.50","35.34","32.32","207.63K","1.23%"
"05/01/2015","33.33","31.81","33.62","31.53","147.86K","5.08%"
"04/01/2015","31.72","30.72","32.52","30.72","116.91K","3.32%"
"03/01/2015","30.70","33.17","33.64","30.16","202.27K","-7.28%"
"02/01/2015","33.11","30.44","33.23","30.41","308.54K","8.70%"
"01/01/2015","30.46","32.51","34.16","29.79","329.05K","-5.84%"
"12/01/2014","32.35","32.33","33.82","31.41","451.73K","-0.19%"
"11/01/2014","32.41","35.25","35.25","32.27","373.31K","-8.03%"
"10/01/2014","35.24","32.74","35.39","32.13","306.49K","7.93%"
"09/01/2014","32.65","32.11","34.05","31.52","474.62K","1.59%"
"08/01/2014","32.14","36.24","36.29","32.00","567.32K","-11.26%"
"07/01/2014","36.22","39.04","39.27","35.81","143.63K","-7.22%"
"06/01/2014","39.04","38.71","41.28","38.01","116.25K","0.93%"
