Date;Food;Fertil;GPRH;Metal;Oil;Raw_Material;Temperature Anomalies;VIX;Euro_Dollars;Viande;Huile;Wheat;Sucre
2006-01-01;69,4;57,55018824333;80,4649658203125;73,12580179226;65,49;70,68440764781;0,5;12,95;1,2155;93,55;23,2;343,25;18,02
2006-02-01;70,4;59,20670540747;77,1498870849609;75,58032538622;61,63;71,94331190008;0,7;12,34;1,1921;90,15;24,32;370,25;16,74
2006-03-01;69,4;63,37002259551;81,5135040283203;76,34994982276;62,69;71,68307759066;0,64;11,39;1,2119;79,5;23,5;347,75;17,9
2006-04-01;69,7;63,99046146749;71,6875839233398;87,79851435963;69,44;72,47091321303;0,52;11,59;1,2637;79,2;25,82;346,25;17,13
2006-05-01;71;61,41445205458;77,7981491088867;101,26719189323;70,84;76,63856209393;0,55;16,440001;1,2812;79,7;25,65;393,5;15,46
2006-06-01;71,1;58,6237751906;83,3894195556641;91,45682883415;70,95;77,62212727868;0,66;13,08;1,2789;84,55;26,62;371,5;15,79
2006-07-01;72,9;58,36787399263;106,795906066895;97,16914952323;74,41;76,54668920053;0,62;14,95;1,2763;83,72;27,12;397,5;14,91
2006-08-01;72,9;60,29536516482;106,37255859375;98,00816204438;73,04;76,55060301685;0,65;12,31;1,2807;90,22;25,74;404;11,8
2006-09-01;73;60,9572564723;99,5656051635742;97,79142159722;63,8;74,59226539341;0,64;11,98;1,2672;90,65;24,64;443;10,85
2006-10-01;74,9;60,10932004055;91,6651611328125;101,69728706623;58,89;74,2923603125;0,68;11,1;1,2763;90,4;27,5;483;11,55
2006-11-01;77,5;62,71037398942;75,4869384765625;101,06505373314;59,08;74,28522079525;0,64;10,91;1,3241;85,7;30,07;502;12,37
2006-12-01;78,6;66,38540254438;80,4272766113281;101,76709173605;61,96;76,45440457142;0,79;11,56;1,3199;90,42;30,14;501;11,75
2007-01-01;78,1;68,40704820475;94,1446151733398;96,82743702612;54,51;78,25774980466;0,91;10,42;1,3034;90,22;30,26;467,5;10,6
2007-02-01;79,6;73,75210014911;88,5464401245117;98,6930611931;59,28;79,58750851166;0,68;15,42;1,3235;94,45;31,15;474,5;11,31
2007-03-01;80,8;78,67688144663;74,7906723022461;104,58692035619;60,44;79,85331404158;0,66;14,64;1,3358;97,6;33,18;438;9,88
2007-04-01;83,6;77,37688815118;73,93408203125;114,37652220803;63,98;81,10279045808;0,72;14,22;1,3647;97,28;33,87;485,5;9,24
2007-05-01;86,2;79,84441378656;88,0791015625;116,37934253623;63,46;81,04792375359;0,6;13,05;1,3453;91,15;36,17;517;9,34
2007-06-01;91,1;80,62310067271;92,1575546264648;110,02408356799;67,49;80,71298677755;0,55;16,23;1,3542;85,5;37,16;582;9,07
2007-07-01;95,3;77,42097786083;96,1720657348633;111,0602077201;74,12;81,5717322485;0,56;23,52;1,3673;94,88;38,35;630;10,33
2007-08-01;98,9;77,42763068026;70,5976333618164;105,4904970349;72,36;81,34165586067;0,56;23,379999;1,363;94,1;37,11;767;9,48
2007-09-01;105;87,13329878443;88,0854339599609;108,1843053398;79,92;82,10690650041;0,58;18;1,4272;96,95;40,41;939;9,56
2007-10-01;107,6;92,91070302476;94,4380111694336;114,419785097;85,8;82,7034795288;0,56;18,530001;1,4481;94,8;43,34;808;9,98
2007-11-01;110,5;100,17608634828;76,5248718261719;112,14130372209;94,77;83,92367378318;0,52;22,870001;1,4632;93,85;46,69;867;9,75
2007-12-01;114,4;106,55685775284;80,957160949707;105,31024055676;91,69;83,11660462176;0,47;22,5;1,459;96,25;50,11;885;10,82
2008-01-01;120;109,91639173969;80,7180404663086;109,54930435146;92,97;86,09618305064;0,27;26,200001;1,4866;90,9;54,82;929,5;12,36
2008-02-01;128;114,3351027766;79,3384475708008;117,66387307462;95,39;89,2832227061;0,37;26,540001;1,5181;92,97;69,32;1073;14,27
2008-03-01;132,1;128,77000980207;67,8318099975586;126,25735791172;105,45;93,15680776249;0,74;25,610001;1,5774;87,42;52,48;929;11,69
2008-04-01;130,4;174,0653096272;68,298210144043;125,45220505939;112,58;93,89550653129;0,49;20,790001;1,5617;91,65;58,63;787,25;10,65
2008-05-01;130;213,04042394248;65,236572265625;121,31300547041;125,4;94,56874298216;0,51;17,83;1,5554;96,53;62;761,5;10,02
2008-06-01;132,5;214,56865970122;70,5272064208984;117,97931591988;133,88;95,74115622493;0,53;23,950001;1,5756;100,6;66,7;843,5;12,04
2008-07-01;130,1;239,63922629375;79,4317245483398;118,90987058632;133,37;96,02442387537;0,59;22,940001;1,5601;98,4;58,84;783,75;13,93
2008-08-01;121,1;256,05522873853;74,7656173706055;109,90311983671;116,67;91,94854690625;0,57;20,65;1,4674;101,78;54,2;779,25;12,76
2008-09-01;112,8;245,37345815242;77,9458236694336;98,02210471799;104,11;91,92784172449;0,55;39,389999;1,4104;98,9;45;680;12,36
2008-10-01;97,6;242,16448559007;52,1327743530273;72,29347635486;76,61;84,76384242207;0,67;59,889999;1,2733;93,75;34,56;536,25;12,02
2008-11-01;89,5;180,64833892443;63,4148864746094;58,7096512292;57,31;83,0985534166;0,66;55,279999;1,2698;87,38;33,34;542,5;11,9
2008-12-01;86;162,44473706721;74,673095703125;50,63123693475;41,12;79,69941658863;0,54;40;1,398;84,47;33,95;610,75;11,81
2009-01-01;86,4;164,15376487467;61,3349304199219;51,68612290621;41,71;80,6713082638;0,6;44,84;1,2782;82;33,49;568;12,67
