"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2020","490.75","520.25","528.62","468.25","","-5.92%"
"05/01/2020","521.62","522.38","527.75","493.88","","-0.36%"
"04/01/2020","523.50","567.25","571.75","506.88","","-7.79%"
"03/01/2020","567.75","525.25","586.88","492.12","","8.09%"
"02/01/2020","525.25","551.12","570.38","512.62","","-5.08%"
"01/01/2020","553.38","559.50","592.38","545.38","","-1.07%"
"12/01/2019","559.38","542.38","564.62","516.38","","3.18%"
"11/01/2019","542.12","508.50","545.88","498.62","","6.56%"
"10/01/2019","508.75","496.25","534.88","485.38","","2.67%"
"09/01/2019","495.50","461.88","500.88","450.62","","7.40%"
"08/01/2019","461.38","487.00","505.38","456.25","","-5.16%"
"07/01/2019","486.50","530.62","531.38","483.38","","-7.51%"
"06/01/2019","526.00","507.00","557.12","488.12","","4.18%"
"05/01/2019","504.88","427.88","521.62","418.62","","17.69%"
"04/01/2019","429.00","459.12","477.38","426.12","","-6.43%"
"03/01/2019","458.50","458.75","477.88","427.12","","-0.05%"
"02/01/2019","458.75","516.50","531.12","458.12","","-11.18%"
"01/01/2019","516.50","503.12","528.88","501.38","","2.68%"
"12/01/2018","503.00","527.75","538.50","503.00","","-2.42%"
"11/01/2018","515.50","500.75","520.75","495.50","","2.84%"
"10/01/2018","501.25","509.75","527.25","485.50","","-1.81%"
"09/01/2018","510.50","537.75","542.50","495.25","","-6.59%"
"08/01/2018","546.50","554.50","593.00","513.00","","-1.44%"
"07/01/2018","554.50","501.75","565.00","471.25","","10.46%"
"06/01/2018","502.00","524.50","538.75","467.50","","-4.34%"
"05/01/2018","524.75","513.00","554.00","486.25","","2.64%"
"04/01/2018","511.25","454.00","513.00","445.75","","13.17%"
"03/01/2018","451.75","495.50","518.50","441.50","","-8.27%"
"02/01/2018","492.50","451.50","499.50","438.75","","9.08%"
"01/01/2018","451.50","429.50","458.75","413.25","","5.61%"
"12/01/2017","427.50","432.50","442.75","411.00","","-1.58%"
"11/01/2017","434.38","418.75","439.00","409.12","","3.79%"
"10/01/2017","418.50","445.00","450.50","416.50","","-6.64%"
"09/01/2017","448.25","434.75","462.75","428.50","","2.93%"
"08/01/2017","435.50","472.25","478.00","400.75","","-8.17%"
"07/01/2017","474.25","539.62","574.25","472.00","","-9.80%"
"06/01/2017","525.75","429.38","525.75","421.62","","22.41%"
"05/01/2017","429.50","441.50","461.50","420.50","","-0.72%"
"04/01/2017","432.62","430.50","436.50","400.25","","1.61%"
"03/01/2017","425.75","443.00","462.50","417.00","","-4.06%"
"02/01/2017","443.75","421.25","464.25","417.25","","5.40%"
"01/01/2017","421.00","408.38","437.62","405.00","","3.25%"
"12/01/2016","407.75","403.75","420.75","392.75","","1.18%"
"11/01/2016","403.00","416.00","421.25","392.75","","-2.95%"
"10/01/2016","415.25","400.50","428.25","391.75","","3.36%"
"09/01/2016","401.75","391.50","411.75","389.75","","3.68%"
"08/01/2016","387.50","407.75","432.50","381.25","","-4.85%"
"07/01/2016","407.25","445.38","451.50","403.75","","-9.10%"
"06/01/2016","448.00","463.38","523.88","438.00","","-3.40%"
"05/01/2016","463.75","486.75","492.75","455.00","","-5.21%"
"04/01/2016","489.25","473.75","510.75","446.25","","3.11%"
"03/01/2016","474.50","453.38","479.38","442.38","","4.77%"
"02/01/2016","452.88","476.25","483.00","446.62","","-5.53%"
"01/01/2016","479.38","472.50","488.50","456.13","","2.13%"
"12/01/2015","469.38","474.63","498.88","465.63","","-1.31%"
"11/01/2015","475.63","521.38","530.75","475.13","","-8.91%"
"10/01/2015","522.13","512.38","531.50","483.63","","1.93%"
"09/01/2015","512.25","484.13","515.50","463.13","","5.54%"
"08/01/2015","485.38","497.13","529.88","476.13","","-2.56%"
"07/01/2015","498.13","614.25","615.00","493.88","","-19.22%"
"06/01/2015","616.63","478.00","617.13","474.13","","29.03%"
"05/01/2015","477.88","476.13","529.88","461.13","","0.53%"
"04/01/2015","475.38","513.38","544.13","464.13","","-7.31%"
"03/01/2015","512.88","513.75","540.38","479.38","","0.17%"
"02/01/2015","512.00","502.25","546.63","490.13","","1.74%"
"01/01/2015","503.25","589.38","603.50","497.38","","-14.69%"
"12/01/2014","589.88","576.88","676.88","570.38","","1.99%"
"11/01/2014","578.38","535.63","580.63","511.38","","8.87%"
"10/01/2014","531.25","477.63","545.25","469.63","","11.00%"
"09/01/2014","478.63","561.88","565.88","466.38","","-15.04%"
"08/01/2014","563.38","531.25","578.63","527.38","","6.22%"
"07/01/2014","530.38","578.63","584.25","518.63","","-8.04%"
"06/01/2014","576.75","625.75","626.13","568.75","","-8.18%"
"05/01/2014","628.13","723.25","743.88","625.63","","-12.94%"
"04/01/2014","721.50","695.88","724.63","656.38","","3.50%"
"03/01/2014","697.13","623.63","722.88","615.00","","16.11%"
"02/01/2014","600.38","554.88","620.75","554.13","","8.18%"
"01/01/2014","555.00","605.13","612.38","550.38","","-8.28%"
"12/01/2013","605.13","668.88","674.63","599.38","","-9.45%"
"11/01/2013","668.25","667.75","672.13","642.38","","0.13%"
"10/01/2013","667.38","678.13","711.13","667.13","","-1.73%"
"09/01/2013","679.13","663.00","694.00","637.13","","3.70%"
"08/01/2013","654.88","663.38","676.38","623.13","","-1.32%"
"07/01/2013","663.63","655.50","692.88","648.13","","1.03%"
"06/01/2013","656.88","707.75","714.38","656.13","","-7.04%"
"05/01/2013","706.63","731.50","734.88","674.13","","-3.24%"
"04/01/2013","730.25","684.88","736.63","660.25","","6.68%"
"03/01/2013","684.50","716.50","741.38","681.25","","-4.45%"
"02/01/2013","716.38","781.50","789.88","698.13","","-8.35%"
"01/01/2013","781.63","786.88","799.63","736.38","","0.40%"
"12/01/2012","778.50","863.50","877.13","764.63","","-9.84%"
"11/01/2012","863.50","867.38","911.63","829.63","","-0.39%"
"10/01/2012","866.88","895.50","901.00","841.63","","-3.21%"
"09/01/2012","895.63","892.00","930.63","849.38","","0.79%"
"08/01/2012","888.63","893.25","930.88","838.75","","-0.45%"
"07/01/2012","892.63","758.88","944.50","756.38","","17.62%"
"06/01/2012","758.88","646.88","763.38","641.00","","17.54%"
"05/01/2012","645.63","652.50","721.38","592.38","","-1.07%"
"04/01/2012","652.63","662.88","665.63","604.25","","-0.95%"
"03/01/2012","658.88","666.63","677.50","611.50","","-1.35%"
"02/01/2012","667.88","666.75","683.25","621.13","","0.19%"
"01/01/2012","666.63","653.13","670.50","590.13","","2.07%"
"12/01/2011","653.13","615.00","655.75","577.25","","6.22%"
"11/01/2011","614.88","629.63","659.13","572.50","","-2.28%"
"10/01/2011","629.25","609.13","665.13","596.88","","3.84%"
"09/01/2011","606.00","787.88","789.13","605.38","","-23.11%"
"08/01/2011","788.13","674.50","805.63","642.50","","16.78%"
"07/01/2011","674.88","600.50","727.50","592.88","","12.41%"
"06/01/2011","600.38","787.13","787.63","596.00","","-23.73%"
"05/01/2011","787.13","801.38","834.38","723.25","","-2.11%"
"04/01/2011","804.13","759.75","864.75","730.25","","5.93%"
"03/01/2011","759.13","819.25","836.88","656.50","","-7.01%"
"02/01/2011","816.38","843.50","892.38","757.63","","-2.65%"
"01/01/2011","838.63","793.13","863.38","758.63","","5.80%"
"12/01/2010","792.63","692.63","808.25","691.13","","14.94%"
"11/01/2010","689.63","727.13","760.38","619.38","","-5.19%"
"10/01/2010","727.38","674.88","738.00","643.75","","7.58%"
"09/01/2010","676.13","689.38","756.75","651.13","","-1.92%"
"08/01/2010","689.38","660.75","840.88","645.00","","4.23%"
"07/01/2010","661.38","479.38","662.63","475.38","","38.00%"
"06/01/2010","479.25","458.25","486.63","425.63","","4.55%"
"05/01/2010","458.38","502.00","516.88","456.38","","-9.26%"
"04/01/2010","505.13","450.88","514.63","447.13","","12.16%"
"03/01/2010","450.38","519.63","519.63","450.38","","-13.24%"
"02/01/2010","519.13","475.00","519.88","466.63","","9.72%"
"01/01/2010","473.13","540.75","574.50","473.13","","-12.57%"
"12/01/2009","541.13","586.50","597.88","514.38","","-7.74%"
"11/01/2009","586.50","493.63","600.38","493.63","","18.66%"
"10/01/2009","494.25","452.00","496.50","439.25","295.08K","8.03%"
"09/01/2009","457.50","471.00","481.50","425.25","459.88K","-2.87%"
"08/01/2009","471.00","531.75","557.50","453.25","752.51K","-10.84%"
"07/01/2009","528.25","517.00","553.75","483.50","470.29K","3.33%"
"06/01/2009","511.25","636.75","677.00","495.75","1.12M","-19.77%"
"05/01/2009","637.25","524.75","646.25","524.50","438.46K","21.55%"
"04/01/2009","524.25","527.75","572.75","500.75","749.31K","-1.60%"
"03/01/2009","532.75","508.00","563.00","488.25","448.18K","4.36%"
"02/01/2009","510.50","568.00","577.00","504.50","706.28K","-10.12%"
"01/01/2009","568.00","606.25","646.25","548.25","656.02K","-7.00%"
"12/01/2008","610.75","541.75","616.00","455.00","326.22K","12.58%"
"11/01/2008","542.50","538.75","587.75","496.00","827.28K","1.17%"
"10/01/2008","536.25","683.25","690.25","496.50","807.11K","-21.14%"
"09/01/2008","680.00","770.00","770.00","662.50","531.82K","-12.74%"
"08/01/2008","779.25","784.50","932.25","746.00","864.44K","-0.57%"
"07/01/2008","783.75","843.00","877.50","775.00","476.86K","-7.08%"
"06/01/2008","843.50","759.50","952.75","745.75","1.08M","10.77%"
"05/01/2008","761.50","792.25","825.00","0.00","382.39K","-3.27%"
"04/01/2008","787.25","929.00","985.50","784.25","619.06K","-15.26%"
"03/01/2008","929.00","1,078.00","1,298.00","929.00","714.98K","-13.42%"
"02/01/2008","1,073.00","934.00","1,334.50","933.00","1.00M","15.44%"
"01/01/2008","929.50","892.50","993.00","878.50","875.32K","5.03%"
"12/01/2007","885.00","865.75","1,009.50","845.25","359.25K","2.08%"
"11/01/2007","867.00","811.00","892.00","740.75","835.35K","7.30%"
"10/01/2007","808.00","953.25","959.00","790.25","1.05M","-13.95%"
"09/01/2007","939.00","784.00","961.75","783.25","508.66K","22.43%"
"08/01/2007","767.00","630.25","795.00","620.00","768.43K","21.75%"
"07/01/2007","630.00","583.25","664.00","562.50","563.75K","8.25%"
"06/01/2007","582.00","517.50","633.75","514.50","952.30K","12.57%"
"05/01/2007","517.00","480.50","524.00","468.00","427.45K","6.49%"
"04/01/2007","485.50","433.75","519.75","412.00","671.76K","10.84%"
"03/01/2007","438.00","474.25","474.25","431.00","378.94K","-7.69%"
"02/01/2007","474.50","467.50","494.00","447.75","567.82K","1.50%"
"01/01/2007","467.50","498.00","499.25","447.50","792.20K","-6.69%"
"12/01/2006","501.00","507.00","521.50","463.50","237.85K","-0.20%"
"11/01/2006","502.00","485.75","519.00","465.00","627.28K","3.93%"
"10/01/2006","483.00","445.00","557.00","435.25","974.76K","9.03%"
"09/01/2006","443.00","401.50","453.00","376.00","534.84K","9.65%"
"08/01/2006","404.00","396.75","405.50","357.25","504.14K","1.64%"
"07/01/2006","397.50","371.50","414.00","363.00","332.00K","7.00%"
"06/01/2006","371.50","394.25","407.00","358.00","674.10K","-5.59%"
"05/01/2006","393.50","349.00","433.00","349.00","577.25K","13.65%"
"04/01/2006","346.25","344.50","369.50","339.50","447.72K","-0.43%"
"03/01/2006","347.75","367.50","380.00","338.50","331.94K","-6.08%"
"02/01/2006","370.25","343.00","378.00","337.50","571.37K","7.87%"
"01/01/2006","343.25","340.00","350.00","321.50","570.96K","1.18%"
"12/01/2005","339.25","303.75","347.00","292.50","268.49K","11.60%"
"11/01/2005","304.00","317.50","320.50","295.00","527.82K","-4.10%"
"10/01/2005","317.00","346.25","352.00","315.50","484.18K","-8.45%"
"09/01/2005","346.25","303.00","353.00","301.75","308.30K","14.84%"
"08/01/2005","301.50","328.00","335.50","300.75","368.20K","-8.01%"
"07/01/2005","327.75","324.00","354.00","320.00","246.43K","1.94%"
"06/01/2005","321.50","330.50","345.50","309.50","455.75K","-3.09%"
"05/01/2005","331.75","315.00","342.75","296.50","323.02K","4.32%"
"04/01/2005","318.00","331.50","332.50","301.50","380.20K","-3.93%"
"03/01/2005","331.00","333.00","370.00","323.00","298.89K","-1.85%"
"02/01/2005","337.25","291.25","337.50","287.00","407.40K","15.89%"
"01/01/2005","291.00","307.50","312.00","287.50","440.98K","-5.37%"
"12/01/2004","307.50","289.50","311.75","282.50","149.38K","6.13%"
"11/01/2004","289.75","316.50","320.50","286.00","436.76K","-8.45%"
"10/01/2004","316.50","307.50","326.00","297.00","363.57K","3.18%"
"09/01/2004","306.75","310.25","341.50","302.50","237.09K","-0.97%"
"08/01/2004","309.75","310.75","324.00","295.50","224.38K","-0.80%"
"07/01/2004","312.25","335.25","348.00","310.00","171.53K","-7.62%"
"06/01/2004","338.00","365.00","391.00","0.00","321.33K","-6.63%"
"05/01/2004","362.00","380.50","407.00","354.00","199.49K","-5.11%"
"04/01/2004","381.50","408.25","424.00","366.00","278.18K","-6.50%"
"03/01/2004","408.00","385.00","422.75","354.00","309.44K","7.16%"
"02/01/2004","380.75","388.00","395.00","363.75","307.22K","-2.12%"
"01/01/2004","389.00","377.50","407.00","373.00","469.00K","3.18%"
"12/01/2003","377.00","397.00","409.00","358.00","198.72K","-4.38%"
"11/01/2003","394.25","370.50","408.00","361.00","325.76K","6.70%"
"10/01/2003","369.50","360.25","384.00","321.00","585.48K","2.57%"
"09/01/2003","360.25","365.25","365.50","337.00","263.33K","-1.97%"
"08/01/2003","367.50","348.50","387.00","347.00","189.65K","5.45%"
"07/01/2003","348.50","303.25","355.50","297.00","221.53K","15.49%"
"06/01/2003","301.75","325.00","339.50","294.50","345.91K","-6.94%"
"05/01/2003","324.25","278.00","345.75","273.00","244.34K","16.01%"
"04/01/2003","279.50","286.75","298.00","277.50","125.37K","-2.53%"
"03/01/2003","286.75","313.75","339.50","277.50","80.60K","-8.24%"
"02/01/2003","312.50","320.50","338.00","307.50","238.37K","-2.50%"
"01/01/2003","320.50","325.75","339.00","307.50","296.18K","-1.38%"
"12/01/2002","325.00","376.00","381.00","321.00","150.01K","-12.87%"
"11/01/2002","373.00","403.00","417.00","367.75","329.69K","-7.27%"
"10/01/2002","402.25","397.25","419.00","360.00","446.97K","1.45%"
"09/01/2002","396.50","368.00","434.00","366.00","281.06K","9.45%"
"08/01/2002","362.25","335.00","363.50","331.00","149.39K","8.46%"
"07/01/2002","334.00","304.00","343.00","304.00","109.10K","8.79%"
"06/01/2002","307.00","282.00","308.00","272.50","360.72K","8.77%"
"05/01/2002","282.25","262.50","284.00","257.50","185.23K","7.83%"
"04/01/2002","261.75","285.50","289.00","255.50","206.43K","-8.16%"
"03/01/2002","285.00","267.25","297.00","263.75","179.88K","6.64%"
"02/01/2002","267.25","286.75","289.50","266.25","301.97K","-6.56%"
"01/01/2002","286.00","290.50","313.25","283.50","438.19K","-1.04%"
"12/01/2001","289.00","283.75","294.50","0.00","135.80K","2.66%"
"11/01/2001","281.50","291.50","292.75","272.25","312.63K","-4.01%"
"10/01/2001","293.25","270.75","297.00","261.50","451.10K","8.31%"
"09/01/2001","270.75","277.00","277.00","0.00","191.65K","-2.61%"
"08/01/2001","278.00","277.50","288.50","262.00","159.57K","-0.18%"
"07/01/2001","278.50","256.00","295.00","246.25","132.44K","12.87%"
"06/01/2001","246.75","266.75","272.00","242.50","366.64K","-7.58%"
"05/01/2001","267.00","273.50","281.75","255.75","213.08K","-2.11%"
"04/01/2001","272.75","256.75","273.00","255.50","169.15K","6.96%"
"03/01/2001","255.00","267.50","285.00","254.00","165.20K","-3.77%"
"02/01/2001","265.00","273.50","276.00","256.25","280.40K","-2.93%"
"01/01/2001","273.00","278.50","294.50","268.00","410.55K","-2.33%"
"12/01/2000","279.50","256.00","280.00","252.00","142.43K","9.18%"
"11/01/2000","256.00","255.50","266.50","251.00","307.49K","0.49%"
"10/01/2000","254.75","265.50","280.50","250.50","364.34K","-3.87%"
"09/01/2000","265.00","250.75","266.00","240.00","187.26K","5.68%"
"08/01/2000","250.75","246.25","251.00","232.00","157.97K","1.83%"
"07/01/2000","246.25","260.50","261.50","237.50","72.62K","-5.11%"
"06/01/2000","259.50","276.50","281.00","258.50","375.81K","-5.55%"
"05/01/2000","274.75","248.50","285.50","243.00","228.46K","13.42%"
"04/01/2000","242.25","262.75","267.00","240.50","159.28K","-7.63%"
"03/01/2000","262.25","246.00","273.00","244.25","203.46K","6.17%"
"02/01/2000","247.00","256.00","273.50","244.00","345.41K","-3.61%"
"01/01/2000","256.25","249.00","269.00","241.00","345.62K","3.12%"
"12/01/1999","248.50","234.50","253.50","222.50","98.46K","6.65%"
"11/01/1999","233.00","255.25","261.50","230.00","325.65K","-8.90%"
"10/01/1999","255.75","276.00","276.75","250.50","343.44K","-7.25%"
"09/01/1999","275.75","264.50","290.00","0.00","169.70K","4.15%"
"08/01/1999","264.75","264.00","286.75","259.00","160.06K","0.38%"
"07/01/1999","263.75","253.00","264.00","230.50","100.12K","5.50%"
"06/01/1999","250.00","252.25","264.00","246.50","360.87K","-0.89%"
"05/01/1999","252.25","258.00","265.50","0.00","85.75K","-2.61%"
"04/01/1999","259.00","280.25","281.50","247.50","130.54K","-7.58%"
"03/01/1999","280.25","237.25","297.00","237.25","117.14K","18.12%"
"02/01/1999","237.25","274.00","274.50","236.50","279.41K","-13.88%"
"01/01/1999","275.50","276.50","294.00","263.00","298.22K","-0.27%"
